"Date","AK","AZ","CA","CO","HI","ID","MT","NM","NV","OR","UT","WA","WY","IA","IL","IN","KS","MI","MN","MO","ND","NE","OH","OK","SD","WI","AL","AR","FL","GA","KY","LA","MS","NC","SC","TN","TX","VA","WV","CT","DC","DE","MA","MD","ME","NH","NJ","NY","PA","RI","VT","GU","MP","PR","VI"
2020-02-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-26,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-28,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-29,0,0,1,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-01,0,0,5,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0
2020-03-02,0,0,5,0,0,0,0,0,0,1,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-03-03,0,1,12,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
2020-03-04,0,0,4,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0
2020-03-05,0,0,8,2,0,0,0,0,1,0,0,31,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,1,3,0,0,1,11,0,0,0,0,0,0,0
2020-03-06,0,1,11,6,1,0,0,0,1,0,1,10,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,3,1,1,0,0,1,0,0,3,0,0,0,0,0,5,0,0,0,2,22,2,1,0,0,0,0,0
2020-03-07,0,2,8,0,0,0,0,0,0,4,0,22,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,2,4,0,0,0,0,2,0,0,1,0,0,1,0,5,0,0,0,0,45,2,0,0,0,0,0,0
2020-03-08,0,0,26,0,1,0,0,0,2,7,0,34,0,3,1,2,0,0,1,0,0,2,0,0,0,0,0,0,4,4,3,0,0,0,4,2,4,1,0,1,1,0,15,2,0,2,2,17,2,0,1,0,0,0,0
2020-03-09,0,0,19,4,0,0,0,0,0,0,0,26,0,5,4,2,0,0,0,0,0,0,3,0,0,1,0,0,2,6,2,1,0,5,1,1,1,3,0,1,3,0,13,0,0,0,5,36,4,0,0,0,0,0,0
2020-03-10,0,1,24,5,0,0,0,0,1,1,1,105,0,5,8,4,0,2,1,0,0,2,1,1,5,1,0,0,9,5,2,2,0,0,2,3,4,4,0,0,0,0,51,1,0,1,4,31,2,2,0,0,0,0,0
2020-03-11,0,3,20,17,0,0,1,4,0,4,2,99,1,1,6,2,0,0,2,0,1,0,0,0,3,3,0,1,3,9,0,10,1,1,1,2,4,0,0,1,5,1,3,3,0,0,8,43,4,0,0,0,0,0,0
2020-03-12,1,0,21,15,0,0,0,2,0,5,1,91,0,2,7,0,4,10,4,1,0,5,1,1,0,2,0,5,18,11,3,6,0,7,2,9,2,8,0,3,0,3,13,3,1,1,6,112,6,0,1,0,0,0,0
2020-03-13,0,0,49,28,0,1,3,4,6,6,4,111,1,1,14,3,1,13,5,2,0,4,8,1,1,11,6,6,33,0,3,17,5,0,1,8,16,13,0,5,0,0,15,5,2,1,21,93,19,15,0,0,0,3,1
2020-03-14,0,3,39,24,2,4,2,3,8,6,15,74,1,1,18,4,2,8,7,1,0,3,13,0,0,8,6,0,39,24,2,41,0,8,6,6,12,11,0,9,6,2,15,9,0,0,19,192,6,0,2,0,0,1,0
2020-03-15,0,0,49,30,3,0,1,4,0,3,4,127,0,4,29,5,1,20,14,0,0,1,11,6,0,6,10,4,33,33,4,26,4,9,9,7,5,4,0,6,1,1,26,5,0,6,29,116,16,0,0,3,0,1,0
2020-03-16,2,6,57,29,3,0,0,4,26,8,11,135,7,1,12,6,2,1,19,2,0,0,13,2,1,14,7,6,11,22,2,33,2,1,5,13,1,6,0,15,5,1,33,6,14,4,80,221,13,1,8,0,0,0,1
2020-03-17,3,2,80,23,4,3,2,2,0,18,12,108,5,6,55,9,5,11,6,8,2,3,17,7,1,25,7,0,56,25,4,60,9,7,14,21,7,16,1,27,9,8,21,20,15,9,87,424,20,0,5,2,0,0,0
2020-03-18,0,7,126,33,2,3,3,5,0,10,12,175,2,9,128,17,5,15,17,7,4,6,21,12,0,34,15,11,112,51,9,84,13,34,13,25,19,10,1,28,8,10,38,28,10,13,162,1008,37,12,2,3,0,0,1
2020-03-19,3,17,77,61,10,12,4,7,50,13,15,189,1,6,134,23,13,254,12,6,12,5,31,15,3,49,27,29,104,90,5,112,16,23,21,56,60,17,3,63,32,4,72,22,10,5,315,1770,52,11,3,4,0,0,0
2020-03-20,3,19,331,86,11,8,5,8,14,26,34,148,4,1,163,47,10,215,26,19,7,6,50,5,0,51,3,34,131,133,7,87,90,40,44,74,51,20,3,35,6,8,85,42,4,11,148,2950,83,10,7,2,0,9,3
2020-03-21,2,41,218,112,11,12,6,14,45,31,24,269,2,23,174,0,11,238,23,26,2,10,78,4,0,75,43,22,95,87,7,106,0,47,48,143,110,38,3,29,21,7,112,41,17,10,437,3254,103,12,20,1,0,7,0
2020-03-22,8,48,268,116,8,4,7,8,36,16,45,203,2,22,296,75,9,248,31,33,2,2,104,12,7,100,33,47,172,93,45,252,61,71,22,134,30,67,5,104,18,11,121,54,16,13,587,4812,108,17,3,12,0,2,11
2020-03-23,14,82,265,129,21,3,11,18,55,30,76,225,2,15,230,58,15,293,66,77,2,2,91,14,7,35,39,32,397,172,25,335,48,42,103,110,18,35,4,88,21,31,131,44,18,23,930,5707,165,23,23,2,0,8,0
2020-03-24,6,92,369,192,13,23,6,17,33,18,41,248,9,19,250,106,19,463,27,72,4,9,122,25,2,41,19,21,185,254,33,216,71,101,44,52,58,36,19,203,46,17,382,61,11,7,831,4790,207,18,20,3,0,8,0
2020-03-25,17,75,433,174,5,50,2,12,43,57,48,111,7,21,330,112,28,501,25,101,3,3,140,58,11,128,68,62,565,221,41,407,57,106,82,117,564,101,12,257,48,15,679,74,24,29,727,5146,276,8,28,5,0,12,0
2020-03-26,10,107,471,344,11,62,18,24,99,50,56,627,12,34,673,168,42,564,59,146,13,9,163,84,5,122,197,55,506,278,50,510,108,132,32,173,422,69,25,137,30,11,579,157,13,21,2474,6447,560,33,35,10,0,13,0
2020-03-27,16,157,795,304,14,45,50,55,115,98,78,493,17,56,488,336,34,801,52,168,16,8,270,74,12,135,87,51,843,476,54,441,94,127,83,246,335,144,20,279,43,35,823,194,13,29,1949,7377,531,38,26,4,0,15,2
2020-03-28,17,108,842,327,31,31,26,17,86,65,122,610,11,63,465,251,59,993,43,168,26,27,269,55,10,147,129,23,712,445,92,569,84,172,121,170,321,135,17,233,38,49,1017,218,43,27,2299,7683,533,36,27,4,2,21,4
2020-03-29,12,146,0,246,24,49,14,29,299,69,117,586,3,38,1105,282,58,836,62,65,4,12,247,52,22,123,131,17,912,237,45,225,95,232,114,164,500,151,11,469,59,18,698,247,42,44,2262,7195,643,55,24,1,0,27,0
2020-03-30,5,238,1120,320,29,105,16,44,88,58,87,166,8,88,461,272,49,1012,73,128,11,25,280,52,11,109,96,82,754,126,41,485,89,140,151,297,325,130,21,578,94,32,797,174,22,56,3250,6984,693,114,21,2,0,47,7
2020-03-31,14,132,1169,339,20,110,7,34,105,84,81,453,14,73,937,373,60,1117,53,296,13,27,266,84,7,130,29,15,1037,1308,111,1212,90,191,158,405,389,230,17,557,92,55,868,247,28,53,2060,9298,756,80,37,11,0,65,0
2020-04-01,10,124,1223,376,34,148,33,48,166,46,125,469,21,52,986,406,54,1719,60,254,25,38,348,154,21,199,153,61,1032,521,89,1187,136,86,210,444,731,234,29,429,91,49,1118,325,41,48,3559,7917,962,78,28,8,4,47,0
2020-04-02,4,185,1036,386,27,218,24,40,179,90,62,601,20,65,715,474,70,1457,53,253,12,36,355,160,36,180,165,99,1235,710,90,2726,104,273,261,162,672,222,26,267,67,25,1228,346,32,64,3335,8669,1211,91,17,5,2,30,7
2020-04-03,10,171,1510,445,34,122,5,92,56,73,172,381,12,85,1209,398,68,1953,47,279,14,33,410,109,22,186,259,55,1260,483,61,1147,181,236,146,222,661,306,20,1090,104,57,1436,427,56,61,4305,10482,1404,54,51,2,0,62,1
2020-04-04,14,250,1325,392,32,64,0,48,228,100,182,625,25,87,1453,516,78,1481,76,178,13,44,427,171,25,196,104,5,1277,552,86,2199,97,309,217,254,780,395,45,362,145,143,1334,367,24,81,4229,10841,1597,95,72,9,0,74,2
2020-04-05,14,250,1412,385,20,24,0,81,94,69,177,393,10,82,899,458,49,1493,70,76,21,40,304,93,28,155,208,110,805,264,38,514,183,183,132,312,702,230,42,399,96,80,764,484,14,48,3381,8327,1493,116,51,19,0,23,2
2020-04-06,6,187,898,222,16,69,54,62,117,64,70,400,13,78,1006,533,98,1503,51,355,18,46,407,75,48,173,165,74,1279,667,53,1857,100,285,183,169,464,241,21,1231,99,110,1337,436,29,46,3585,8658,1470,160,31,1,0,38,1
2020-04-07,22,119,1529,257,23,40,19,108,134,49,63,298,11,102,1287,563,55,1749,83,315,12,69,332,145,32,138,191,70,875,1504,141,1417,177,351,185,336,986,455,67,875,114,145,1365,326,20,32,3326,8174,1579,147,32,8,0,60,0
2020-04-08,13,151,1092,226,25,22,13,71,231,58,110,415,9,97,1529,436,146,1376,85,290,14,41,366,52,73,178,172,3,1194,1063,197,746,88,205,135,224,1091,312,50,1000,229,188,1588,1158,18,41,3021,10453,1680,221,30,4,3,47,2
2020-04-09,9,292,1352,547,7,121,22,124,138,82,128,511,9,125,1344,408,60,1158,88,212,18,58,364,160,54,129,469,146,1128,685,106,1253,257,225,240,272,877,397,61,1003,83,93,2151,656,23,31,3590,10621,1989,277,23,3,0,63,1
2020-04-10,11,94,1163,308,23,43,11,102,128,50,126,279,14,118,1465,556,60,1279,94,260,9,71,324,110,89,183,170,56,1142,917,241,970,209,257,273,228,1441,467,51,754,137,117,2033,783,26,66,3561,10575,1751,288,51,2,0,42,0
2020-04-11,11,281,1143,383,21,11,12,83,116,76,104,337,8,122,1293,528,102,1210,91,225,15,56,351,74,90,145,254,26,1018,778,147,761,173,404,142,252,890,568,17,972,118,153,1886,726,30,44,3563,9946,1676,334,32,3,0,63,5
2020-04-12,15,146,1179,410,13,19,10,71,136,80,97,187,9,77,1672,493,69,645,194,136,15,110,331,102,104,128,321,52,909,289,123,581,139,208,112,194,923,197,20,525,97,146,2615,531,17,56,3699,8236,1178,316,16,0,0,109,0
2020-04-13,5,163,554,388,5,27,7,100,135,57,60,127,5,123,1173,308,39,997,29,228,23,57,363,99,138,87,220,130,1124,1071,85,421,161,296,120,302,422,473,22,1346,80,136,1392,711,65,35,2734,6337,1366,311,21,1,0,6,0
2020-04-14,8,104,990,250,13,11,5,62,117,49,49,156,7,189,1222,291,50,1366,45,298,10,30,272,115,120,127,150,88,609,957,162,502,145,208,114,213,718,424,61,608,103,165,1296,536,36,71,4240,7177,1146,275,4,1,2,20,0
2020-04-15,8,156,1086,339,13,123,5,77,123,30,130,89,6,96,1346,428,68,1058,114,209,24,51,475,79,180,166,196,101,891,682,81,433,273,99,103,256,868,329,24,766,139,88,1755,560,36,48,2206,11571,1145,278,7,0,0,51,0
2020-04-16,7,272,1758,395,11,22,11,113,110,73,141,280,8,146,1140,587,94,1204,103,216,28,114,611,94,143,154,255,21,821,1108,138,581,264,342,275,183,963,389,21,1129,153,61,2263,752,26,72,4287,8505,1245,309,9,0,0,69,0
2020-04-17,9,273,1346,372,12,46,7,114,203,49,122,382,9,191,1842,612,117,760,159,172,46,72,619,108,100,170,168,75,1413,1064,93,586,169,394,155,327,916,602,36,925,126,248,2221,788,31,76,3150,7358,1706,339,11,1,0,25,0
2020-04-18,5,212,1435,386,21,13,4,87,102,59,126,167,4,181,1585,487,85,768,142,234,89,149,1081,105,131,154,151,44,739,409,185,462,181,281,160,173,889,562,50,741,190,215,1970,736,20,55,2953,7090,1628,314,24,0,0,50,0
2020-04-19,5,210,1370,297,6,4,7,47,102,66,138,178,4,389,1197,569,59,633,143,150,57,187,1353,29,93,147,180,42,822,316,253,348,300,353,131,308,663,484,65,412,127,211,1705,522,20,50,3881,6054,1215,215,9,0,1,95,2
2020-04-20,2,135,645,376,4,64,0,126,102,46,144,295,4,257,1151,476,137,576,114,140,42,175,1224,81,50,153,175,190,744,790,90,595,238,271,62,168,535,453,18,1853,134,207,1566,854,8,55,3505,4726,948,384,4,0,0,39,1
2020-04-21,8,187,2283,341,2,30,4,101,107,46,83,197,5,482,1551,411,39,967,97,134,17,73,734,127,70,121,249,19,811,934,142,331,204,187,169,156,738,461,21,545,171,186,1556,509,13,44,3581,4178,1296,410,2,2,0,46,0
2020-04-22,6,208,2135,431,6,36,2,138,144,57,149,212,4,107,2049,341,186,999,154,196,35,91,359,87,103,225,262,402,707,859,181,404,178,269,153,448,873,501,34,2109,108,269,1745,582,19,97,3478,5526,1156,341,5,0,0,80,0
2020-04-23,2,310,1973,384,4,34,3,169,127,68,167,259,6,176,1826,601,271,1325,221,184,30,311,533,123,98,207,243,207,1072,772,108,481,259,388,156,424,875,675,18,631,155,108,3079,962,30,82,4124,6244,1369,415,2,2,0,38,0
2020-04-24,2,276,1885,994,5,34,2,142,190,50,170,224,17,521,2724,641,295,1350,243,304,39,297,439,104,84,304,194,211,885,635,298,401,281,444,153,460,862,542,29,821,167,134,4946,879,28,50,2207,8130,1599,443,2,0,0,0,0
2020-04-25,0,235,1883,712,3,17,1,139,141,76,166,342,13,647,2119,715,279,562,261,201,55,311,402,72,107,331,187,99,306,548,126,372,284,571,183,463,967,733,15,661,171,134,2379,1150,25,67,3327,10553,1397,430,16,1,0,0,1
2020-04-26,2,246,1027,473,2,10,3,66,63,58,175,202,8,383,2126,617,118,575,156,171,64,296,377,60,65,224,208,92,689,706,169,261,193,207,237,478,858,586,28,687,142,458,1590,815,25,77,3515,5902,1116,310,8,1,0,-45,4
2020-04-27,4,190,1300,438,1,20,1,97,88,43,110,165,19,393,1980,949,154,432,214,174,75,330,339,27,33,170,118,68,610,372,72,295,183,312,123,251,666,548,24,728,51,128,1524,906,8,74,2150,3951,885,269,4,2,0,18,0
2020-04-28,6,232,1567,437,2,35,2,151,115,31,110,156,7,508,2219,627,163,1052,365,132,49,16,429,130,68,208,211,58,708,994,229,218,248,426,122,134,874,758,18,315,102,413,1840,626,17,72,2668,3110,1214,218,7,1,0,11,0
2020-04-29,4,254,1469,442,4,32,0,239,93,61,152,228,8,467,2253,594,247,1137,463,122,42,410,473,63,60,231,175,80,347,856,164,374,227,380,146,314,883,534,14,455,112,80,1963,736,16,44,2408,4585,1102,321,0,0,0,33,7
2020-04-30,0,446,2417,526,5,31,2,198,100,64,177,257,11,302,2563,653,500,980,492,137,34,497,684,145,76,334,143,48,497,410,169,341,246,561,214,369,1033,852,16,933,217,79,1940,893,39,92,2388,4681,1397,374,4,1,0,106,0
2020-05-01,9,314,1525,484,1,20,0,102,229,69,156,310,5,739,3137,795,211,977,594,273,40,557,677,130,76,460,226,66,1038,990,171,710,397,414,163,1156,1142,929,26,1064,335,184,2106,1730,28,164,2538,3942,1208,341,13,0,0,36,0
2020-05-02,1,402,1755,457,1,26,2,219,84,56,153,366,9,757,2450,665,297,851,498,319,46,488,575,103,63,346,317,51,735,1110,176,429,229,586,231,770,1293,870,33,523,139,120,1952,1001,29,119,2527,4663,1334,327,7,2,0,182,0
2020-05-03,3,276,1419,410,0,0,0,118,115,45,194,182,6,528,2994,638,284,547,435,232,38,333,557,121,43,304,114,59,615,469,251,200,109,155,137,516,1026,894,7,669,219,170,1824,989,33,89,3027,3438,962,188,11,0,0,51,0
